V	VERB	x		Verb	аҟаҵ	Аҟаҵарба	сцоит	Гл	Глаголь
#Cop	AUX	x		Verb	аҟаҵ	Аҟаҵарба	ауп	Гл	Глаголь
EnclCop	AUX	x		Verb	аҟаҵ	Аҟаҵарба	ауп	Гл	Глаголь
Noun	NOUN	x		Noun	ахьӡ	Ахьыӡҟа	ауаҩы, ашәҟәы	Сущ	Имя существительное
H	Animacy=Hum		Noun, Pron	Human	ადამ	Ауаҩытәҩса	аӡҕаб, ауаҩы		
NH	Animacy=Nhum		Noun, Pron	Non-human	არაადამ	Амаҭәар	ала, аҩны		
#Comp			Noun	Compound	შედგ	შედგენილი არსებითი სახელი, კომპოზიტი			
Prop	PROPN	PROPN	Noun	Proper noun	საკ-სახ	Ахатәы хыӡҟа	Баҭал, Аҟәа		
Pron	PRON	x		Pronoun	ნაცვსახ	Ахьыӡцынхәра	сара		
Pers	PronType=Prs		Pron	Personal	პირ	Ахаҿытә хь.			
Poss	PronType=Prs Poss=Yes		Pron	Possessive	კუთვნ	Адхаларатә форма/ахаҿытә ҧынгыла	с-напы, р-напы		
Poss:1Sg	Number[psor]=Sing|Person[psor]=1		Pron Poss	Possessive 1st Sg	კუთვნ-1მხ	Адхаларатә форма, aзаҵә хыҧхьаӡара актәи ахаҿы	с-		
Poss:2SgM	Number[psor]=Sing|Person[psor]=2|Gender[psor]=Masc		Pron Poss	Possessive 2nd Sg Masc	კუთვნ-2მხ	Адхаларатә форма, aзаҵә хыҧхьаӡара аҩбатәи ахаҿы (ахацәа)	у-		
Poss:2SgF	Number[psor]=Sing|Person[psor]=2|Gender[psor]=Fem		Pron Poss	Possessive 2nd Sg Fem	კუთვნ-3მხ	Адхаларатә форма, aзаҵә хыҧхьаӡара аҩбатәи ахаҿы (аҳәса)	б-		
Poss:3SgM	Number[psor]=Sing|Person[psor]=3|Gender[psor]=Masc		Pron Poss	Possessive 3rd Sg Masc	კუთვნ-3მხ	Адхаларатә форма, aзаҵә хыҧхьаӡара ахҧатәи ахаҿы (ахацәа)	и-		
Poss:3SgF	Number[psor]=Sing|Person[psor]=3|Gender[psor]=Fem		Pron Poss	Possessive 3rd Sg Fem	კუთვნ-3მხ	Адхаларатә форма, aзаҵә хыҧхьаӡара ахҧатәи ахаҿы (аҳәса)	л-		
Poss:3SgNH	Number[psor]=Sing|Person[psor]=3|Gender[psor]=Neut		Pron Poss	Possessive 3rd Sg Nonhum	კუთვნ-3მხ	Адхаларатә форма, aзаҵә хыҧхьаӡара ахҧатәи ахаҿы (амаҭәар)	а-		
Poss:1Pl	Number[psor]=Plur|Person[psor]=1		Pron Poss	Possessive 1st Pl	კუთვნ-1მრ	Адхаларатә форма, aрацәа хыҧхьаӡара актәи ахаҿы	ҳ(а)-		
Poss:2Pl	Number[psor]=Plur|Person[psor]=2		Pron Poss	Possessive 2nd Pl	კუთვნ-2მრ	Адхаларатә форма, aрацәа хыҧхьаӡара аҩбатәи ахаҿы	шә-		
Poss:3Pl	Number[psor]=Plur|Person[psor]=3		Pron Poss	Possessive 3rd Pl	კუთვნ-3მრ	Адхаларатә форма, aрацәа хыҧхьаӡара ахҧатәи ахаҿы	и-		
Poss:Rel	Person[psor]=Rel		V	Relative Possessive Marker	სუბ-3მხ				
Rel			Noun, A, V	Relative	მიმარ	Азыҟашьатә-хьыӡцынхәратә рбага	и-цоз, иҟа-з-ҵоз		
Refl			V	Reflexive	უკუქც	Асубиекттә версиа			
Recip			V	Reciprocal	ურთიერთ	Аицҟаҵаратә категориа			
Indef	PronType=Ind		Pron	Indefinite	განუსაზღ				
Dem	PronType=Dem		Pron	Demonstrative	ჩვენ	Арбагатә			
Prox			Pron Dem	Proximal	დეიქ₁				
Med			Pron Dem	Medial	დეიქ₂				
Dist			Pron Dem	Distal	დეიქ₃				
Num	NUM	x		Numeral	რიცხ	Ахыҧхьаӡаратә	акы, хҧа, аҩбатәи		Числителное
Card	NumType=Card		Num	Cardinal	რაოდ		акы, хҧа, зқьы		
Ord	NumType=Ord		Num	Ordinal	რიგ		актәи, ҩбатәи		
NumPfx	Number=Card		Noun	Numeral Prefix	რიგ		актәи, ҩбатәи		
Alpha			Num	Alphabetic	ანბან		жәохә		
Digits			Num	Digits	ციფრ		7, 3,1415		
Roman			Num	Roman	რომ		I, XIV, iv		
Approx			Num	Approximative	ოდნ		ҩбаҟа		
Repet	NumType=Mult		Num	Repetitive	ჯერ		ҩынтә		
Frac	NumType=Frac		Num	Fraction	წილ				
# Distr	NumType=Dist		Num	Iterative	ჯერობ		ҩба-ҩба		
Range	NumType=Range		Num	Range	რიგ		2-3, ҩба-хҧа		
Adj	ADJ	x		Adjective	ზედს	Аҟазшьарба	абзиа, аҟаҧш		Прилагательное
Adv	ADV	x		Adverb	ზმნსრთ	Ацынгыла	ара, гәыла-ҧсыла, иахьа	Прл	Наречие
Mann	AdvType=Man		Adv	Manner	რაობ		ибзианы		
Temp	AdvType=Tim		Adv, N	Temporal	დრო		иахьа, иацы, уажәы		
Loc	AdvType=Loc		Adv	Local	ადგილ		ара		
Sent			Adv	Sentential Adverbial	სენტ				
