V	VERB	x		Verb	аҟаҵ	Аҟаҵарба	сцоит	Гл	Глаголь
Cop	AUX	x		Verb	аҟаҵ	Аҟаҵарба	ауп	Гл	Глаголь
N	NOUN	x		N	ахьӡ	Ахьыӡҟа	ауаҩы, ашәҟәы	Сущ	Имя существительное
Hum	Animacy=Anim		N Pron	Human	ადამ	Ауаҩытәҩса	аӡҕаб, ауаҩы		
Prop	PROPN	x	N	Proper noun	საკ-სახ	Ахатәы хыӡҟа	Баҭал, Аҟәа		
Pron	PRON	x		Pronoun	ნაცვსახ	Ахьыӡцынхәра	сара		
Pers	PronType=Prs		Pron	Personal	პირ	Ахаҿытә хь.			
Poss	PronType=Prs|Poss=Yes		Pron	Possessive	კუთვნ	Адхаларатә форма/ахаҿытә ҧынгыла	с-напы, р-напы		
Rel	PronType=Rel		Pron	Relative	მიმარ
Refl			V	Reflexive	უკუქც	Асубиекттә версиа			
Recip			V	Reciprocal	ურთიერთ	Аицҟаҵаратә категориа			
Indef	PronType=Ind		Pron	Indefinite	განუსაზღ				
Dem	PronType=Dem		Pron	Demonstrative	ჩვენ	Арбагатә			
Prox			Pron Dem	Proximal	დეიქ₁				
Med			Pron Dem	Medial	დეიქ₂				
Dist			Pron Dem	Distal	დეიქ₃				
Num	NUM	x		Numeral	რიცხ	Ахыҧхьаӡаратә	акы, хҧа, аҩбатәи		Числителное
Card	NumType=Card		Num	Cardinal	რაოდ		акы, хҧа, зқьы		
Ord	NumType=Ord		Num	Ordinal	რიგ		актәи, ҩбатәи		
NumPfx	Number=Card		N	Numeral Prefix	რიგ		актәи, ҩбатәи		
Alpha			Num	Alphabetic	ანბან		жәохә		
Digits			Num	Digits	ციფრ		7, 3,1415		
Roman			Num	Roman	რომ		I, XIV, iv		
Approx			Num	Approximative	ოდნ		ҩбаҟа		
#Repet	NumType=Mult		Num	Repetitive	ჯერ		ҩынтә		
Frac	NumType=Frac		Num	Fraction	წილ				
# Distr	NumType=Dist		Num	Iterative	ჯერობ		ҩба-ҩба		
Range	NumType=Range		Num	Range	რიგ		2-3, ҩба-хҧа		
A	ADJ	x		Adjective	ზედს	Аҟазшьарба	абзиа, аҟаҧш		Прилагательное
Adv	ADV	x		Adverb	ზმნსრთ
Pp	ADP	x		Adverb	ზმნსრთ
Modal	AUX	x		Adverb	ზმნსრთ
Compl	SCONJ	x		Adverb	ზმნსრთ
#Mann	AdvType=Man		Adv	Manner	რაობ		ибзианы		
Temp	AdvType=Tim		Adv	Temporal	დრო		иахьа, иацы, уажәы		
Loc	AdvType=Loc		Adv	Local	ადგილ		ара		
Sent			Adv	Sentential Adverbial	სენტ				
#Comm			Adv	Comment	კომენტ	მაკომენტირებელი გარემოება			
#Foc			Adv Encl	Focus	ფოკ	ფოკუსი			
#Causal			Adv	Causal	მიზგარ	მიზეზის გარემოება			
Root			Adv	Root	ძირი		мап, аиeи		
Int			Pron Adv	Interrogative	კითხვ		ибдыруеи, изҳәада		
Det	Definite=Def		N A	Determiner			а-ла, а-шәҟәы		
Q	Mood=Int		V	Question	Азҵ	Азҵааратә форма	уабацо		
Quant	DET	x	A	Quantor	კვანტორი		зегьы, доусы		
Cj		x		Conjunction	კავშ	Аидҳәалага	аха, избанзар, иа … иа		Союз
Coord		CCONJ	Cj	Coordinating	მაჯგ	Аиҧшратә еидҳә.	ма, мамзар		
Sub		SCONJ	Cj	Subordinating	მაქვემ	Аиҿагыларатә еидҳә.	избанзар, избан акәзар		
Compar		ADP	Cj	Subordinating	მაქვემ	Аиҿагыларатә еидҳә.	როგორც		
PP	ADP	x		Postposition (suffix)	თანდ	Ашьҭынгыла	 -да, -ла, -ҿы, -ҟны		Послелог
Abbrev	Abbr=Yes		N A Adv	Abbreviation	შემოკლ	Аркьаҿра	Д., ш., шш.	Укорочение	
Interj	INTJ	x		Interjection	შორისდ	Абыжьҭҟьа 	ҟоҳ, уф, ҳаит		Междометие
#Neg	Polarity=Neg		V	Negated	ნეგ	Аҟаҵарба мапкратәи аформа (-м-)	имаӡа-м		
Punct	PUNCT	x		Punctuation	პუნქტ		. , : - ? « … »		
Period			Punct	Period	წერტ		.		
IntMark			Punct	Question mark	კითხვ	Азҵааратә дырга	?		
Colon			Punct	Colon	ორწერტ		:		
Semicolon			Punct	Semicolon	წერტ-მძ		;		
Comma			Punct	Comma	მძიმე		,		
Hyphen			Punct	Hyphen	დეფ		-		
Dash			Punct	Dash	ტირე		–		
Underscore			Punct	Underscore	ქვედ		_		
Bracket			Punct	Bracket	ფრჩხ		[ ]		
Paren			Punct	Parenthesis	ფრჩხ		( )		
Quote			Punct	Quotation mark	ბრჭყ		« » “ ”		
Ellipsis			Punct	Ellipsis	მრწერტ		…		
ExclPoint			Punct	Exclamation point	ძახ		!		
Star			Symbol	Star	ვარსკ	Аеҵәа	*		
Fin	VerbForm=Fin		V	Finite
NonFin	VerbForm=NonFin		V	Non-finite
#Tr	Trans=Yes		V	Transitive
Tr	Subcat=Tran		V	Transitive
#Intr	Trans=No		V	Intransitive
Intr	Subcat=Intr		V	Intransitive
Sg	Number=Sing		N A Pron Prop Det	Singular
